id,short_name,long_name,player_positions,overall,value_eur,age,dob,height_cm,weight_kg,club_name,club_position,club_jersey_number,club_joined,nationality,nation_position,nation_jersey_number,preferred_foot,player_traits,pace,shooting,passing,dribbling,defending,physic,pace_acceleration,pace_sprint_speed,shooting_finishing,shooting_shot_power,shooting_long_shots,shooting_positioning,shooting_penalties,passing_crossing,passing_short_passing,passing_curve,passing_fk_accuracy,passing_long_passing,passing_vision,dribbling_dribbling,dribbling_ball_control,dribbling_agility,dribbling_reactions,dribbling_balance,dribbling_composure,defending_heading_accuracy,defending_interceptions,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,physic_aggression,physic_jumping,physic_stamina,physic_strength,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
358,L. Bonucci,Leonardo Bonucci,CB,85,"  17,500,000 ",34,1987-05-01,190,85,Juventus,RCB,19,2018-08-02,Italy,RCB,19,Right,"Power Free-Kick, Solid Player, Long Passer (AI), Power Header",64,58,69,71,86,80,60,68,48,74,65,38,70,44,81,56,60,81,71,69,79,59,82,53,86,83,86,88,85,81,82,90,65,86,2,2,3,2,4,https://cdn.sofifa.com/players/184/344/22_120.png,https://cdn.sofifa.com/teams/45/60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/1343/60.png,https://cdn.sofifa.com/flags/it.png
359,G. Di Lorenzo,Giovanni Di Lorenzo,RB,80,"  20,500,000 ",27,1993-08-04,183,83,Napoli,RB,22,2019-07-01,Italy,RB,2,Right,"Flair, Technical Dribbler (AI)",84,66,73,76,76,79,85,83,64,72,69,70,59,76,77,69,69,71,64,76,75,78,76,78,72,71,77,76,78,75,74,83,89,75,8,10,8,10,7,https://cdn.sofifa.com/players/217/870/22_120.png,https://cdn.sofifa.com/teams/48/60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/1343/60.png,https://cdn.sofifa.com/flags/it.png
360,L. Insigne,Lorenzo Insigne,"LW, CF",86,"  65,500,000 ",30,1991-06-04,163,59,Napoli,LW,24,2010-07-01,Italy,LW,10,Right,"Finesse Shot, Flair, Long Shot Taker (AI), Outside Foot Shot, Technical Dribbler (AI)",87,78,85,90,36,45,90,84,76,76,82,81,87,77,87,87,86,84,89,90,93,89,79,93,81,59,26,53,24,22,34,50,74,34,8,4,14,9,10,https://cdn.sofifa.com/players/198/219/22_120.png,https://cdn.sofifa.com/teams/48/60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/1343/60.png,https://cdn.sofifa.com/flags/it.png
361,M. Verratti,Marco Verratti,"CM, CAM",87,"  79,500,000 ",28,1992-11-05,165,60,Paris Saint-Germain,LCM,6,2012-07-18,Italy,LCM,6,Right,"Injury Prone, Dives Into Tackles (AI), Flair, Playmaker (AI), Outside Foot Shot",64,61,87,91,79,67,68,60,60,60,58,78,64,82,90,85,64,89,89,91,92,91,87,94,94,57,85,78,82,84,89,67,76,54,12,12,15,15,10,https://cdn.sofifa.com/players/199/556/22_120.png,https://cdn.sofifa.com/teams/73/60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/1343/60.png,https://cdn.sofifa.com/flags/it.png
362,G. Chiellini,Giorgio Chiellini,CB,86,"  12,000,000 ",36,1984-08-14,187,85,Juventus,SUB,3,2005-07-01,Italy,LCB,3,Left,"Long Throw-in, Injury Prone, Dives Into Tackles (AI), Power Header, Team Player",68,46,60,58,89,85,67,69,33,78,49,28,50,63,65,60,31,67,50,57,57,53,80,57,83,77,89,93,89,88,88,91,71,91,3,3,2,4,3,https://cdn.sofifa.com/players/138/956/22_120.png,https://cdn.sofifa.com/teams/45/60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/1343/60.png,https://cdn.sofifa.com/flags/it.png
363,Emerson,Emerson Palmieri dos Santos,"LB, LWB",78,"  15,000,000 ",26,1994-08-03,176,79,Olympique Lyonnais,LB,3,2021-07-21,Italy,LB,13,Left,Speed Dribbler (AI),80,63,70,79,75,63,83,78,51,80,77,72,55,78,77,53,71,66,57,79,80,75,75,76,72,60,78,77,77,76,69,67,70,57,8,15,8,7,14,https://cdn.sofifa.com/players/210/736/22_120.png,https://cdn.sofifa.com/teams/66/60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/1343/60.png,https://cdn.sofifa.com/flags/it.png
364,G. Donnarumma,Gianluigi Donnarumma,GK,89,"  119,500,000 ",22,1999-02-25,196,90,Paris Saint-Germain,GK,50,2021-07-15,Italy,GK,21,Right,"Rushes Out Of Goal, Comes For Crosses",90,77,69,76,50,72,50,55,12,59,18,14,24,12,36,12,14,34,60,28,30,64,85,38,68,12,26,20,14,16,30,72,34,72,91,83,79,85,90,https://cdn.sofifa.com/players/230/621/22_120.png,https://cdn.sofifa.com/teams/73/60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/1343/60.png,https://cdn.sofifa.com/flags/it.png
365,Jorginho,Luiz Frello Filho Jorge,"CM, CDM",85,"  52,500,000 ",29,1991-12-20,180,68,Chelsea,LCM,5,2018-07-16,Italy,CM,8,Right,Playmaker (AI),55,67,86,81,73,73,61,50,64,71,62,69,91,75,92,75,76,89,88,79,87,77,82,72,81,56,81,67,81,71,79,58,87,66,14,7,13,14,8,https://cdn.sofifa.com/players/205/498/22_120.png,https://cdn.sofifa.com/teams/5/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1343/60.png,https://cdn.sofifa.com/flags/it.png
366,R. Jiménez,Raúl Alonso Jiménez Rodríguez,ST,83,"  35,500,000 ",30,1991-05-05,188,81,Wolverhampton Wanderers,ST,9,2019-07-01,Mexico,SUB,9,Right,"Flair, Power Header, Outside Foot Shot, Technical Dribbler (AI)",72,82,76,81,47,82,63,80,84,84,74,84,92,73,81,75,51,75,78,84,82,75,82,65,81,85,53,45,38,30,81,74,82,84,7,11,13,14,10,https://cdn.sofifa.com/players/204/838/22_120.png,https://cdn.sofifa.com/teams/110/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
367,H. Herrera,Héctor Miguel Herrera López,CM,81,"  21,000,000 ",31,1990-04-19,185,78,Atlético de Madrid,SUB,16,2019-07-03,Mexico,SUB,16,Right,"Solid Player, Long Shot Taker (AI)",70,75,76,76,78,84,71,70,72,81,78,82,67,65,81,69,68,79,78,76,78,73,81,68,77,61,82,81,82,67,84,77,93,80,6,10,15,7,16,https://cdn.sofifa.com/players/156/519/22_120.png,https://cdn.sofifa.com/teams/240/60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
368,H. Lozano,Hirving Rodrigo Lozano Bahena,"RW, LW",81,"  31,000,000 ",25,1995-07-30,175,70,Napoli,SUB,11,2019-08-23,Mexico,SUB,22,Right,"Speed Dribbler (AI), Outside Foot Shot",93,76,72,83,41,62,92,93,77,76,75,82,73,73,74,72,65,65,74,83,80,89,81,82,75,62,45,42,35,29,64,67,76,54,11,10,14,14,10,https://cdn.sofifa.com/players/221/992/22_120.png,https://cdn.sofifa.com/teams/48/60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
369,O. Pineda,Orbelín Pineda Alvarado,"RM, RW, CM",77,"  14,000,000 ",25,1996-03-24,169,63,Cruz Azul,RW,31,2019-01-01,Mexico,SUB,10,Right,"Long Shot Taker (AI), Outside Foot Shot",86,73,72,79,62,66,84,87,75,72,73,70,63,70,75,68,56,70,73,80,75,91,70,83,69,41,66,63,65,65,67,64,85,57,15,14,7,10,10,https://cdn.sofifa.com/players/224/574/22_120.png,https://cdn.sofifa.com/teams/1878/60.png,https://cdn.sofifa.com/flags/mx.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
370,R. Cota,Rodolfo Cota Robles,GK,76,"  2,400,000 ",33,1987-07-03,183,86,Club León,SUB,30,2018-07-06,Mexico,SUB,12,Right,"Solid Player, Comes For Crosses",87,77,61,65,39,89,59,56,12,50,16,11,25,12,26,15,12,31,55,15,25,52,73,60,65,14,14,25,13,12,29,69,36,80,75,70,67,79,79,https://cdn.sofifa.com/players/186/098/22_120.png,https://cdn.sofifa.com/teams/110781/60.png,https://cdn.sofifa.com/flags/mx.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
371,H. Martín,Henry Josué Martín Mex,ST,76,"  7,500,000 ",28,1992-11-18,177,80,Club América,RS,21,2018-01-01,Mexico,SUB,15,Right,Power Header,79,74,65,75,38,81,76,82,78,79,65,75,65,62,71,64,51,60,66,73,75,84,75,82,75,79,42,45,21,22,70,91,78,85,9,10,11,9,12,https://cdn.sofifa.com/players/224/151/22_120.png,https://cdn.sofifa.com/teams/1879/60.png,https://cdn.sofifa.com/flags/mx.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
372,J. Sánchez,Jorge Eduardo Sánchez Ramos,RB,76,"  9,500,000 ",23,1997-12-10,175,80,Club América,RB,3,2018-07-01,Mexico,SUB,6,Right,"Long Throw-in, Early Crosser, Speed Dribbler (AI)",92,45,61,72,72,77,90,93,35,66,45,49,54,70,65,54,36,54,58,70,72,77,69,79,68,63,73,72,73,72,64,75,84,78,10,10,12,12,7,https://cdn.sofifa.com/players/233/493/22_120.png,https://cdn.sofifa.com/teams/1879/60.png,https://cdn.sofifa.com/flags/mx.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
373,R. Alvarado,Roberto Carlos Alvarado Hernández,"RM, LM, CAM",76,"  15,000,000 ",22,1998-09-07,176,70,Cruz Azul,LW,25,2018-07-12,Mexico,SUB,7,Left,"Playmaker (AI), Technical Dribbler (AI)",76,71,75,77,53,70,81,72,68,77,76,71,62,74,75,76,65,72,79,75,78,90,70,77,68,51,55,55,49,60,55,59,84,71,8,14,13,13,14,https://cdn.sofifa.com/players/237/043/22_120.png,https://cdn.sofifa.com/teams/1878/60.png,https://cdn.sofifa.com/flags/mx.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
374,S. Córdova,Francisco Sebastián Córdova Reyes,"LM, RM, CM",76,"  12,000,000 ",24,1997-06-12,174,66,Club América,LM,10,2019-01-08,Mexico,SUB,14,Left,"Finesse Shot, Flair, Playmaker (AI), Technical Dribbler (AI)",83,73,71,80,51,69,81,85,70,75,80,72,68,65,74,65,69,70,73,80,78,83,75,84,76,48,55,54,51,36,66,71,82,63,7,8,14,8,8,https://cdn.sofifa.com/players/242/118/22_120.png,https://cdn.sofifa.com/teams/1879/60.png,https://cdn.sofifa.com/flags/mx.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
375,J. Orozco,Jonathan Emmanuel Orozco Domínguez,GK,75,"  625,000 ",35,1986-05-12,184,81,Club Tijuana,GK,1,2020-06-24,Mexico,SUB,1,Right,"Leadership, GK Long Throw, Rushes Out Of Goal, Cautious With Crosses",76,38,68,75,73,68,59,59,15,61,18,18,30,20,59,19,16,65,70,29,39,70,73,64,70,15,19,29,19,25,45,84,45,75,75,71,81,75,74,https://cdn.sofifa.com/players/163/301/22_120.png,https://cdn.sofifa.com/teams/111678/60.png,https://cdn.sofifa.com/flags/mx.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
376,C. Rodríguez,Carlos Alberto Rodríguez Gómez,"CM, CDM",75,"  11,000,000 ",24,1997-01-03,176,66,CF Monterrey,RCM,29,2016-06-08,Mexico,SUB,8,Right,"Playmaker (AI), Technical Dribbler (AI)",76,60,73,76,68,66,78,75,58,64,62,68,62,63,80,61,61,75,75,75,77,80,73,74,80,50,72,68,71,64,54,65,85,62,12,15,11,8,10,https://cdn.sofifa.com/players/235/389/22_120.png,https://cdn.sofifa.com/teams/1032/60.png,https://cdn.sofifa.com/flags/mx.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
377,U. Antuna,Carlos Uriel Antuna Romero,"LM, RM, RW",74,"  6,500,000 ",23,1997-08-21,174,59,Club Deportivo Guadalajara,SUB,7,2020-01-01,Mexico,SUB,21,Right,Speed Dribbler (AI),92,59,65,77,31,47,95,90,65,62,45,70,45,70,70,54,48,60,61,80,69,90,62,74,60,46,35,24,31,32,45,51,78,32,10,13,14,9,11,https://cdn.sofifa.com/players/237/997/22_120.png,https://cdn.sofifa.com/teams/1880/60.png,https://cdn.sofifa.com/flags/mx.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
378,R. Funes Mori,Rogelio Gabriel Funes Mori,ST,77,"  10,500,000 ",30,1991-03-05,186,78,CF Monterrey,ST,7,2015-06-12,Mexico,ST,11,Right,"Dives Into Tackles (AI), Finesse Shot, Flair, Outside Foot Shot, Team Player",77,77,68,74,43,81,80,75,82,75,69,78,73,65,70,75,58,65,72,75,74,74,73,66,72,77,49,25,45,44,78,82,82,81,8,10,15,6,15,https://cdn.sofifa.com/players/198/140/22_120.png,https://cdn.sofifa.com/teams/1032/60.png,https://cdn.sofifa.com/flags/mx.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
379,J. Corona,Jesús Manuel Corona Ruíz,"RM, RB, RW",82,"  30,500,000 ",28,1993-01-06,173,66,FC Porto,SUB,17,2015-08-31,Mexico,RW,17,Right,"Early Crosser, Flair, Chip Shot (AI), Technical Dribbler (AI)",83,67,79,85,74,60,86,81,66,66,63,79,68,79,82,82,67,71,83,85,84,91,84,87,87,71,76,75,74,72,73,71,88,39,11,6,10,14,9,https://cdn.sofifa.com/players/193/165/22_120.png,https://cdn.sofifa.com/teams/236/60.png,https://cdn.sofifa.com/flags/pt.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
380,L. Romo,Luis Francisco Romo Barrón,"CDM, CB, CM",77,"  14,000,000 ",26,1995-06-05,182,84,Cruz Azul,CDM,7,2020-01-03,Mexico,RCM,5,Right,"Power Free-Kick, Long Shot Taker (AI)",72,61,65,65,75,85,76,69,60,73,61,65,46,34,80,58,66,77,64,64,70,58,72,54,69,75,76,74,77,73,76,88,80,90,11,9,13,9,12,https://cdn.sofifa.com/players/243/015/22_120.png,https://cdn.sofifa.com/teams/1878/60.png,https://cdn.sofifa.com/flags/mx.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
381,N. Araújo,Néstor Alejandro Araújo Razo,CB,76,"  6,500,000 ",29,1991-08-29,188,87,RC Celta de Vigo,RCB,4,2018-07-02,Mexico,RCB,2,Right,Dives Into Tackles (AI),66,41,55,58,78,78,63,69,34,57,39,30,54,32,72,44,45,66,43,53,69,41,71,60,71,77,76,79,78,76,65,66,69,88,7,8,13,6,9,https://cdn.sofifa.com/players/192/041/22_120.png,https://cdn.sofifa.com/teams/450/60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
382,J. Domínguez,Julio César Domínguez Juárez,"CB, RB",73,"  1,500,000 ",33,1987-11-08,177,70,Cruz Azul,RCB,4,2006-07-01,Mexico,RB,19,Right,"Leadership, Team Player",65,41,60,61,74,75,64,66,29,62,50,49,30,61,66,45,47,58,56,57,64,66,70,70,58,70,75,75,75,68,75,90,74,74,10,14,6,11,8,https://cdn.sofifa.com/players/177/273/22_120.png,https://cdn.sofifa.com/teams/1878/60.png,https://cdn.sofifa.com/flags/mx.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
383,A. Vega,Ernesto Alexis Vega Rojas,"ST, CF, CAM",73,"  7,000,000 ",23,1997-11-25,173,77,Club Deportivo Guadalajara,CAM,10,2019-01-01,Mexico,LW,20,Right,"Finesse Shot, Long Shot Taker (AI), Playmaker (AI)",78,74,72,78,30,72,79,78,76,75,75,71,66,65,76,53,70,72,75,80,76,77,72,75,71,59,16,44,19,18,55,70,78,76,5,11,12,8,7,https://cdn.sofifa.com/players/233/260/22_120.png,https://cdn.sofifa.com/teams/1880/60.png,https://cdn.sofifa.com/flags/mx.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
384,A. Guardado,José Andrés Guardado Hernández,"CDM, CM, LM",78,"  4,800,000 ",34,1986-09-28,169,67,Real Betis Balompié,LDM,18,2017-07-07,Mexico,LCM,18,Left,Injury Prone,64,68,80,79,73,69,67,62,64,73,73,69,70,74,82,78,80,79,82,78,80,79,77,87,76,55,75,74,75,76,74,71,81,60,7,10,10,11,10,https://cdn.sofifa.com/players/171/897/22_120.png,https://cdn.sofifa.com/teams/449/60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
385,C. Montes,César Jasib Montes Castro,CB,75,"  11,500,000 ",24,1997-02-24,191,70,CF Monterrey,RCB,3,2015-07-01,Mexico,LCB,3,Right,"Injury Prone, Long Passer (AI), Power Header",60,44,62,64,75,76,55,64,43,55,35,59,48,41,72,62,37,73,65,59,69,80,72,51,75,77,75,77,74,73,74,84,77,75,9,10,5,5,13,https://cdn.sofifa.com/players/229/980/22_120.png,https://cdn.sofifa.com/teams/1032/60.png,https://cdn.sofifa.com/flags/mx.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
386,J. Gallardo,Jesús Daniel Gallardo Vasconcelos,"LB, LM, LW",75,"  6,000,000 ",26,1994-08-15,176,73,CF Monterrey,LB,17,2018-07-01,Mexico,LB,23,Left,Speed Dribbler (AI),82,67,71,75,69,73,83,82,69,75,59,74,65,77,73,73,47,66,69,76,74,76,67,71,68,64,65,72,69,69,58,77,90,71,9,7,8,12,11,https://cdn.sofifa.com/players/226/045/22_120.png,https://cdn.sofifa.com/teams/1032/60.png,https://cdn.sofifa.com/flags/mx.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
387,G. Ochoa,Francisco Guillermo Ochoa Magaña,GK,80,"  2,300,000 ",35,1985-07-13,190,85,Club América,GK,13,2019-08-06,Mexico,GK,13,Right,"Leadership, GK Long Throw, Cautious With Crosses",57,34,60,65,79,75,47,50,12,54,11,16,16,15,36,14,17,37,48,10,18,65,74,42,62,19,23,21,10,12,19,75,34,56,79,75,72,80,83,https://cdn.sofifa.com/players/140/233/22_120.png,https://cdn.sofifa.com/teams/1879/60.png,https://cdn.sofifa.com/flags/mx.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
388,E. Álvarez,Edson Omar Álvarez Velázquez,"CDM, CB",77,"  15,500,000 ",23,1997-10-24,187,73,Ajax,RCM,4,2019-07-22,Mexico,CDM,4,Right,"Solid Player, Dives Into Tackles (AI)",69,53,66,65,79,84,67,71,50,69,40,55,65,64,74,40,40,72,62,63,67,62,75,66,68,77,81,80,77,78,83,76,85,84,7,11,10,7,6,https://cdn.sofifa.com/players/235/844/22_120.png,https://cdn.sofifa.com/teams/245/60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/1386/60.png,https://cdn.sofifa.com/flags/mx.png
389,M. de Ligt,Matthijs de Ligt,CB,85,"  75,000,000 ",21,1999-08-12,189,89,Juventus,LCB,4,2019-07-18,Netherlands,SUB,3,Right,"Solid Player, Power Header",73,59,60,68,84,87,71,75,50,82,66,44,40,52,75,48,55,63,45,65,73,60,84,62,82,85,81,84,85,85,83,93,75,93,12,11,11,12,10,https://cdn.sofifa.com/players/235/243/22_120.png,https://cdn.sofifa.com/teams/45/60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/105035/60.png,https://cdn.sofifa.com/flags/nl.png
390,W. Weghorst,Wout Weghorst,ST,83,"  37,000,000 ",28,1992-08-07,197,84,VfL Wolfsburg,ST,9,2018-07-01,Netherlands,SUB,19,Right,Power Header,63,83,59,69,52,86,59,66,87,86,74,88,71,42,76,40,37,43,67,65,79,62,85,44,83,92,34,44,67,30,85,79,83,89,11,9,14,16,12,https://cdn.sofifa.com/players/223/689/22_120.png,https://cdn.sofifa.com/teams/175/60.png,https://cdn.sofifa.com/flags/de.png,https://cdn.sofifa.com/teams/105035/60.png,https://cdn.sofifa.com/flags/nl.png
391,M. de Roon,Marten Elco de Roon,"CDM, CM",82,"  25,500,000 ",30,1991-03-29,185,76,Atalanta,RCM,15,2017-08-11,Netherlands,SUB,15,Right,Solid Player,66,68,71,72,82,83,64,68,60,76,77,67,80,68,78,61,48,75,69,71,76,61,82,73,81,75,84,82,84,81,85,80,92,77,14,15,7,12,12,https://cdn.sofifa.com/players/208/461/22_120.png,https://cdn.sofifa.com/teams/39/60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/105035/60.png,https://cdn.sofifa.com/flags/nl.png
392,S. Bergwijn,Steven Charles Bergwijn,"LM, LW, RM",80,"  30,000,000 ",23,1997-10-08,178,78,Tottenham Hotspur,SUB,23,2020-01-29,Netherlands,SUB,7,Right,"Flair, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",85,78,75,83,39,69,87,84,75,84,81,78,68,77,80,78,66,63,77,84,82,79,78,89,76,60,34,52,28,26,50,68,74,75,11,14,12,14,13,https://cdn.sofifa.com/players/225/953/22_120.png,https://cdn.sofifa.com/teams/18/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/105035/60.png,https://cdn.sofifa.com/flags/nl.png
393,D. Malen,Donyell Malen,ST,80,"  33,000,000 ",22,1999-01-19,179,78,Borussia Dortmund,LS,21,2021-07-27,Netherlands,SUB,18,Right,"Flair, Outside Foot Shot, Technical Dribbler (AI)",90,79,72,83,30,74,90,90,82,79,72,80,74,71,75,74,61,64,77,83,83,84,81,83,76,69,31,27,24,16,62,77,79,75,7,9,9,10,14,https://cdn.sofifa.com/players/231/447/22_120.png,https://cdn.sofifa.com/teams/22/60.png,https://cdn.sofifa.com/flags/de.png,https://cdn.sofifa.com/teams/105035/60.png,https://cdn.sofifa.com/flags/nl.png
394,T. Koopmeiners,Teun Koopmeiners,"CDM, CM, CB",79,"  24,500,000 ",23,1998-02-28,183,77,Atalanta,SUB,7,2021-08-30,Netherlands,SUB,20,Left,"Solid Player, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI)",65,72,79,72,76,77,66,64,67,78,76,68,85,76,82,69,77,83,76,70,76,66,80,71,79,73,79,77,75,75,71,78,84,75,14,8,14,12,10,https://cdn.sofifa.com/players/240/679/22_120.png,https://cdn.sofifa.com/teams/39/60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/105035/60.png,https://cdn.sofifa.com/flags/nl.png
395,R. Gravenberch,Ryan Jiro Gravenberch,"CM, CDM",78,"  33,000,000 ",19,2002-05-16,190,79,Ajax,LCM,8,2018-07-01,Netherlands,SUB,16,Right,"Solid Player, Flair, Outside Foot Shot, Technical Dribbler (AI)",77,74,77,82,68,71,76,78,74,77,78,72,58,74,79,73,56,78,80,83,84,80,73,75,79,58,74,71,67,59,52,72,81,74,12,8,6,11,12,https://cdn.sofifa.com/players/246/104/22_120.png,https://cdn.sofifa.com/teams/245/60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/105035/60.png,https://cdn.sofifa.com/flags/nl.png
396,T. Krul,Tim Krul,GK,77,"  3,400,000 ",33,1988-04-03,188,74,Norwich City,GK,1,2018-07-24,Netherlands,SUB,13,Left,Comes For Crosses,78,72,70,75,73,77,43,35,11,53,14,8,42,13,32,13,15,29,52,13,25,48,72,42,52,19,19,14,17,14,36,72,36,63,77,75,71,77,79,https://cdn.sofifa.com/players/170/597/22_120.png,https://cdn.sofifa.com/teams/1792/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/105035/60.png,https://cdn.sofifa.com/flags/nl.png
397,T. Malacia,Tyrell Malacia,LB,77,"  15,000,000 ",21,1999-08-17,169,67,Feyenoord,LB,15,2015-12-02,Netherlands,SUB,5,Left,"Long Throw-in, Dives Into Tackles (AI), Early Crosser, Speed Dribbler (AI)",81,56,64,76,72,73,82,81,50,65,62,60,46,75,75,36,35,56,52,75,74,82,71,89,66,58,70,70,78,76,77,85,80,67,9,9,12,8,8,https://cdn.sofifa.com/players/238/041/22_120.png,https://cdn.sofifa.com/teams/246/60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/105035/60.png,https://cdn.sofifa.com/flags/nl.png
398,J. Drommel,Joël Drommel,GK,75,"  7,000,000 ",24,1996-11-16,193,90,PSV,GK,16,2021-07-01,Netherlands,SUB,23,Right,"GK Long Throw, Rushes Out Of Goal, Comes For Crosses",79,74,75,81,39,63,50,52,13,58,16,10,32,12,44,21,21,39,53,25,32,62,67,49,65,21,10,12,20,19,22,75,40,70,75,73,77,74,77,https://cdn.sofifa.com/players/228/279/22_120.png,https://cdn.sofifa.com/teams/247/60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/105035/60.png,https://cdn.sofifa.com/flags/nl.png
399,J. Timber,Jurriën David Norman Timber,"CB, RB",75,"  11,500,000 ",20,2001-06-17,179,77,Ajax,RCB,2,2019-01-01,Netherlands,SUB,2,Right,"Injury Prone, Finesse Shot",83,44,64,75,75,79,80,86,35,58,46,61,42,59,75,44,31,66,63,75,77,73,69,74,80,67,75,77,76,69,76,82,77,80,6,6,8,14,14,https://cdn.sofifa.com/players/251/805/22_120.png,https://cdn.sofifa.com/teams/245/60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/105035/60.png,https://cdn.sofifa.com/flags/nl.png
400,G. Til,Guus Berend Til,"CAM, CM",73,"  4,800,000 ",23,1997-12-22,186,78,Feyenoord,CAM,26,2018-09-14,Netherlands,SUB,12,Right,"Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",67,71,69,73,59,71,64,69,75,70,66,77,66,53,77,58,63,72,73,72,75,68,75,73,69,69,66,52,59,57,65,52,87,68,12,6,12,11,14,https://cdn.sofifa.com/players/235/663/22_120.png,https://cdn.sofifa.com/teams/246/60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/105035/60.png,https://cdn.sofifa.com/flags/nl.png
401,M. Depay,Memphis Depay,"CF, LW, CAM",85,"  63,000,000 ",27,1994-02-13,176,78,FC Barcelona,LW,9,2021-07-01,Netherlands,ST,10,Right,"Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",82,83,82,85,30,79,81,83,83,87,83,85,76,84,81,85,83,76,85,86,85,80,83,81,80,65,28,23,31,20,72,69,79,83,8,14,6,12,10,https://cdn.sofifa.com/players/202/556/22_120.png,https://cdn.sofifa.com/teams/241/60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/105035/60.png,https://cdn.sofifa.com/flags/nl.png
